2025-05-28 10:49:28,291 | INFO | access | POST /api/v1/auth/login status=200 duration=299.63ms client=127.0.0.1
2025-05-28 10:49:31,551 | INFO | access | GET /api/v1/users/me status=200 duration=17.95ms client=127.0.0.1
2025-05-28 10:49:34,736 | INFO | access | GET /api/v1/users/2 status=200 duration=4.95ms client=127.0.0.1
2025-05-28 10:50:01,320 | INFO | access | GET /api/v1/users/5 status=200 duration=5.92ms client=127.0.0.1
2025-05-28 10:50:06,454 | INFO | access | GET /api/v1/users/111 status=404 duration=4.51ms client=127.0.0.1
2025-05-28 10:50:10,431 | INFO | access | GET /api/v1/users/1212 status=404 duration=5.32ms client=127.0.0.1
2025-05-28 10:50:14,469 | INFO | access | GET /api/v1/users/12 status=404 duration=4.58ms client=127.0.0.1
2025-05-28 10:50:16,382 | INFO | access | GET /api/v1/users/12 status=404 duration=4.32ms client=127.0.0.1
2025-05-28 10:50:19,315 | INFO | access | GET /api/v1/admins status=307 duration=0.34ms client=127.0.0.1
2025-05-28 10:50:19,324 | INFO | access | GET /api/v1/admins/ status=200 duration=7.44ms client=127.0.0.1
2025-05-28 10:50:25,038 | INFO | access | GET /api/v1/admins status=307 duration=0.31ms client=127.0.0.1
2025-05-28 10:50:25,044 | INFO | access | GET /api/v1/admins/ status=200 duration=4.41ms client=127.0.0.1
2025-05-28 10:50:30,191 | INFO | access | GET /api/v1/admins status=307 duration=0.30ms client=127.0.0.1
2025-05-28 10:50:30,200 | INFO | access | GET /api/v1/admins/ status=200 duration=7.13ms client=127.0.0.1
2025-05-28 10:51:32,757 | INFO | access | PATCH /api/v1/admins/users/5/block/ status=307 duration=0.32ms client=127.0.0.1
2025-05-28 10:51:32,772 | INFO | access | PATCH /api/v1/admins/users/5/block status=200 duration=13.66ms client=127.0.0.1
2025-05-28 10:51:37,440 | INFO | access | GET /api/v1/admins/users/2 status=200 duration=6.99ms client=127.0.0.1
2025-05-28 10:51:42,264 | INFO | access | PATCH /api/v1/admins/users/5/block/ status=307 duration=0.31ms client=127.0.0.1
2025-05-28 10:51:42,276 | INFO | access | PATCH /api/v1/admins/users/5/block status=200 duration=10.30ms client=127.0.0.1
2025-05-28 10:51:51,681 | INFO | access | POST /api/v1/auth/login status=401 duration=274.01ms client=127.0.0.1
2025-05-28 10:51:55,301 | INFO | access | GET /api/v1/posts/me status=401 duration=1.08ms client=127.0.0.1
2025-05-28 10:54:17,599 | INFO | access | GET /api/v1/posts/me status=401 duration=1.12ms client=127.0.0.1
2025-05-28 13:13:37,429 | INFO | access | POST /api/v1/auth/login status=401 duration=303.23ms client=127.0.0.1
2025-05-28 13:13:39,253 | INFO | access | POST /api/v1/auth/login status=401 duration=275.41ms client=127.0.0.1
2025-05-28 13:13:48,222 | INFO | access | POST /api/v1/auth/login status=401 duration=3.23ms client=127.0.0.1
2025-05-28 13:13:54,156 | INFO | access | POST /api/v1/auth/register status=400 duration=18.52ms client=127.0.0.1
2025-05-28 13:14:06,951 | INFO | access | POST /api/v1/auth/register status=400 duration=4.26ms client=127.0.0.1
2025-05-28 13:14:12,925 | INFO | access | POST /api/v1/auth/register status=200 duration=277.80ms client=127.0.0.1
2025-05-28 13:14:17,987 | INFO | access | POST /api/v1/auth/login status=401 duration=3.70ms client=127.0.0.1
2025-05-28 13:14:22,828 | INFO | access | POST /api/v1/auth/login status=200 duration=279.40ms client=127.0.0.1
2025-05-28 13:14:27,344 | INFO | access | GET /api/v1/posts status=307 duration=0.33ms client=127.0.0.1
2025-05-28 13:14:27,357 | INFO | access | GET /api/v1/posts/ status=200 duration=11.80ms client=127.0.0.1
2025-05-28 13:14:30,721 | INFO | access | GET /api/v1/users/me status=200 duration=6.62ms client=127.0.0.1
